Type,Institution,City,State,Postcode,Title,YearAwarded
Institute,"Pittsburgh Symphony, Inc.",Pittsburgh,PA,15222,Dvorak in America,2009
Landmarks Workshop,"Plimoth Plantation, Inc.",Plymouth,MA,02362-1620,Cultural Encounters and Human Agency in America 1550-1700,2004
Institute,"Plimoth Plantation, Inc.",Plymouth,MA,02362-1620,"Beyond the Mayflower: New Voices from Early America, 1500-1676",2019
Landmarks Workshop,Pocumtuck Valley Memorial Association,Deerfield,MA,01342-5004,"Living on the Edge of Empire: Alliance, Conflict and Captivity in Colonial New England","2012, 2014, 2019"
Landmarks Workshop,Pocumtuck Valley Memorial Association,Deerfield,MA,01342-5004,African Americans in the Making of Early New England,"2016, 2018"
Institute,Primary Source,Watertown,MA,02472-4052,"Ottoman Cultures: Society, Politics and Trade in the Turkish Empire, 1299-1922",2012
Institute,Primary Source,Watertown,MA,02472-4052,Foreign Exchanges: The U.S. and the Wider World in the Twentieth Century,2016
Institute,Purdue University,West Lafayette,IN,47907-2040,From Plessy to Brown: The African-American Freedom Struggle in the Twentieth Century,2015
Landmarks Workshop,Ramapo College of New Jersey,Mahwah,NJ,07430-1623,The Hudson River in the 19th Century and the Modernization of America,"2010, 2012, 2014"
Institute,Rendell Center for Civics and Civic Engagement,Philadelphi,PA,19104-3806,The First Amendment and Twenty-first-Century America,2018
Institute,Rhode Island Historical Society,Providence,RI,02906-1012,"The Role of Slavery in the Rise of New England Commerce, Industry, and Culture to 1860","2008, 2010"
Landmarks Workshop,Rochester Institute of Technology,Rochester,NY,14623-5698,"Abolitionism, Women’s Rights, and Religious Revivalism on the Rochester Reform Trail",2010
Institute,"Rutgers, the State University of New Jersey",Piscataway,NJ,08854-3925,"The Company Town at Seabrook Farms, N.J.: Internment, Migration, and Resettlement in the WWII Era",2017
Landmarks Workshop,Salem State University,Salem,MA,01970-5353,"Salem, Massachusetts (1801-1861): National Culture, International Horizons",2004
Landmarks Workshop,Salem State University,Salem,MA,01970-5353,"Becoming American: Trade, Culture, and Reform in Salem, Massachusetts, 1801-1861",2005
Institute,Salem State University,Salem,MA,01970-5353,The Visual Culture of Colonial New England,2005
Institute,Salem State University,Salem,MA,01970-5353,"Picturing Early America: People, Places, and Events 1770-1870","2008, 2009"
Seminar,San Diego State University Research Foundation,San Diego,CA,92182-0001,The Political Theory of Hannah Arendt: The Problem of Evil and the Origins of Totalitarianism,"2005, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2016"
Seminar,San Jose State University Research Foundation,San Jose,CA,95112-5569,Japanese Culture and Values,2005
Institute,San Jose State University Research Foundation,San Jose,CA,95112-5569,The Immigrant Experience in California through Literature and History,"2013, 2015, 2016, 2019"
Institute,San Jose State University Research Foundation,San Jose,CA,95112-5569,John Steinbeck: Social Critic and Ecologist,"2015, 2017, 2019"
Landmarks Workshop,Savannah-Chatham County Public Schools,Savannah,GA,31401,"Planned, Built, and Preserved: Savannah's Three-Century History",2004
Landmarks Workshop,Save Ellis Island,Mt. Olive,NJ,07828-1381,"Ellis Island: Immigration, Public Health, and the American Workforce","2006, 2007, 2008"
Institute,Shakespeare and Company,Lenox,MA,1240,National Institute for Teaching Shakespeare,"2005, 2008"
Institute,Shepherd University,Shepherdstown,WV,25443-5000,Voices from the Misty Mountains,"2012, 2015, 2017"
Landmarks Workshop,Siena College,Loudonville,NY,12211-1462,"Heaven on Earth: Shakers, Religious Revival, and Social Reform in America",2012
Landmarks Workshop,Siena College,Loudonville,NY,12211-1462,"Religious Revival, Utopian Society, and the Shaker Experience in America",2015
Landmarks Workshop,Sonoma State University,Rohnert Park,CA,94928-3609,"Jack London, Beauty Ranch, and Re-Imagining The American Dream",2006
Institute,"Southern Illinois University, Edwardsville",Edwardsville,IL,62026-0001,Frederick Douglass and Literary Crossroads,2018
Landmarks Workshop,"Southern Illinois University, Edwardsville",Edwardsville,IL,62026-0001,Abraham Lincoln and the Forging of Modern America,"2007, 2008, 2009, 2010, 2011, 2013"
Institute,Southern Oregon University,Ashland,OR,97520-5001,Shakespeare in Ashland: Teaching from Performance,2004
Landmarks Workshop,Southern Utah University,Cedar City,UT,84720-2470,Voices of the Ancients: Archaeology and Oral Tradition in the American Southwest,2019
Landmarks Workshop,St. Mary's College of Maryland,St. Mary's City,MD,20686-3002,Maryland's Birthplace—An American Legacy,2005
Landmarks Workshop,State Historical Society of Colorado,Denver,CO,80203-2109,Borderlands of Southern Colorado,2019
Seminar,"SUNY Research Foundation, Binghamton",Binghamton,NY,13902-4400,Reading Don Quixote,"2004, 2008, 2010"
Institute,"SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,China and India: Comparisons and Connections,2012
Landmarks Workshop,"SUNY Research Foundation, Buffalo State College",Buffalo,NY,14222-1004,Buffalo's Pan-American Exposition and Ideas of Progress,2014
Landmarks Workshop,"SUNY Research Foundation, College at Brockport",Brockport,NY,14420-2997,"The Rochester Reform Trail: Women's Rights, Religion, and Abolition on the Genesee River and the Erie Canal","2013, 2014, 2015, 2016"
Institute,"SUNY Research Foundation, College at Cortland",Cortland,NY,13045-0900,Common Ground: Americans and Their Land During The Gilded Age and Progressive Era,2017
Landmarks Workshop,"SUNY Research Foundation, College at Cortland",Cortland,NY,13045-0900,Forever Wild: The Adirondacks in the Gilded Age and Progressive Era,"2012, 2014, 2015, 2018"
Seminar,"SUNY Research Foundation, College at Geneseo",Geneseo,NY,14454-1401,"The Thirteeth Century ""Lives"" of St. Francis of Assisi",2008
Seminar,"SUNY Research Foundation, College at Oswego",Oswego,NY,13126-3501,W. B. Yeats and the Two Irelands,"2004, 2005"
Seminar,Texas A & M Research Foundation,College Station,TX,77843-0001,Germany's Cosmopolitan Capital: Berlin and the Myth of German Monoculturalism,2009
Seminar,Texas A & M Research Foundation,College Station,TX,77843-0001,Berlin's Cultural Diversity Across Two Centuries,2011
Seminar,Texas A & M Research Foundation,College Station,TX,77843-0001,Visions of the Dark Years: Legacies of World War II in France,"2004, 2006, 2008, 2010"
Seminar,"Texas A & M University, College Station",College Station,TX,77843-0001,Memories Divided and Reconciled: World Wars I and II in France Today,2013
Seminar,"Texas A & M University, College Station",College Station,TX,77843-0001,Migration and German Culture: Berlin's Diversity Across Two Centuries,2013
Institute,"Texas A & M University, Commerce",Commerce,TX,75428-4311,J. R. R. Tolkien's The Lord of the Rings in the History and Literature Classroom,2008
Institute,Theatre for a New Audience,New York,NY,10014-2840,Teaching Shakespeare’s Plays through Scholarship and Performance,"2010, 2014, 2015, 2016, 2017, 2018"
Seminar,Trustees of Amherst College,Amherst,MA,01002-2372,"Punishment, Politics and Culture","2004, 2005, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018"
Landmarks Workshop,Trustees of Amherst College,Amherst,MA,01002-2372,"Emily Dickinson: Person, Poetry and Place","2008, 2010, 2013, 2016"
Seminar,Trustees of Indiana University,Indianapolis,IN,46202-2915,Muslim American History and Life,"2014, 2016, 2017, 2018"
Landmarks Workshop,Tulane University,New Orleans,LA,70118-5698,"New Orleans: Music, Culture, and Civil Rights","2016, 2018"
Institute,"University of Arkansas, Fayetteville",Fayetteville,AR,72701-1201,Remaking Monsters and Heroines: Adapting Classic Literature for Contemporary Audiences,"2017, 2019"
Institute,"University of Arkansas, Monticello",Monticello,AR,71656-0001,South Africa: Continuity and Change,2005
Institute,"University of Arkansas, Monticello",Monticello,AR,71656-0001,South Africa: History and Culture,"2008, 2011, 2012"
Landmarks Workshop,"University of California, Berkeley",Berkeley,CA,94704-5940,"Movement, Mobilization, and Militarization: The Bay Area Home Front in World War II","2013, 2015, 2018"
Institute,"University of California, Davis",Davis,CA,95618-6153,Roots of the Arab Spring,2012
Landmarks Workshop,"University of California, Davis",Davis,CA,95618-6153,The Transcontinental Railroad: Transforming California and the Nation,"2012, 2014, 2015, 2016, 2018"
Institute,"University of California, Los Angeles",Los Angeles,CA,90095-9000,Religious Landscapes of Los Angeles,2017
Institute,"University of California, San Diego",La Jolla,CA,92093-0013,Istanbul Between East and West: Crossroads of History,"2012, 2014"
Seminar,"University of California, Santa Cruz",Santa Cruz,CA,95064-1077,Charles Dickens: Hard Times and A Tale of Two Cities,2015
Seminar,"University of California, Santa Cruz",Santa Cruz,CA,95064-1077,Why Literature Matters: Voices from Nineteenth-Century Britain and America,2017
Seminar,"University of California, Santa Cruz",Santa Cruz,CA,95064-1077,Reimagining the Literary Classic: Teaching Literature through Adaptations,2018
Seminar,"University of California, Santa Cruz",Santa Cruz,CA,95064-1077,"Production and Consumption in World History, 1450 to 1950","2008, 2010"
Seminar,"University of California, Santa Cruz",Santa Cruz,CA,95064-1077,Great Adaptations: Dickens in Literature and Film,"2010, 2013"
Landmarks Workshop,University of Central Missouri,Warrensburg,MO,64093,"Clashing Identities: Arrow Rock, Missouri, Where West Met South, 1820-1860",2005
Landmarks Workshop,"University of Connecticut, Stamford",Stamford,CT,6903,Gullah Voices: Traditions and Transformations,"2014, 2015, 2016, 2018"
Institute,University of Dayton,Dayton,OH,45469-0001,Mozart's Worlds,"2004, 2005, 2007, 2009, 2010, 2013"
Seminar,University of Delaware,Newark,DE,19716-0099,Shakespeare: Enacting the Text,"2004, 2006, 2008"
Landmarks Workshop,University of Idaho,Moscow,ID,83844-9803,Silver Mining in the West: Conflict and Community on the Frontier,2006
Landmarks Workshop,University of Illinois at Chicago,Chicago,IL,60607-3320,"Hull-House in the Progressive Era: People, Places, and Ideas",2005
Institute,"University of Illinois, Urbana-Champaign",Urbana,IL,61801-3620,Chinese Film and Society,2011
Seminar,"University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,America and The Great War: An Interdisciplinary Seminar in Literature and History,2009
Institute,"University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,"The Wright Connection: Native Son, Black Boy, and Uncle Tom's Children",2009
Landmarks Workshop,"University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,"Native American and African-American Educational Experiences in Kansas, 1830-1960",2016
Institute,"University of Kansas Center for Research, Inc.",Lawrence,KS,66045-3101,"Teaching the ""Long Hot Summer"" of 1967 and Beyond: Racial Disturbances in Recent US History",2016
Institute,University of Kentucky Research Foundation,Lexington,KY,40506-0004,Addiction in American History,2017
Seminar,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,Balzac and Zola: Esthetics and Ethics in the Novel,2004
Seminar,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,Emile Zola's Germinal: Esthetics and Ethics in the Novel,2004
Seminar,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,The Dutch Republic and Britain: The Making of Modern Society and a European World-Economy,2006
Institute,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,Maritime America in the Age of Winslow Homer,2008
Seminar,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,The Dutch Republic and Britain: The Making of a European World Economy and Modern Society,"2004, 2008, 2010, 2012, 2014, 2015"
Seminar,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,Historical Interpretations of the Industrial Revolution in Britain,"2005, 2007, 2009, 2011"
Landmarks Workshop,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,Sailing to Freedom: New Bedford and the Underground Railroad,"2010, 2012, 2014"
Landmarks Workshop,"University of Massachusetts, Dartmouth",North Dartmouth,MA,02747-2300,Hoover Dam and the Shaping of the American West,"2015, 2019"
Landmarks Workshop,"University of Massachusetts, Lowell",Lowell,MA,01854-2827,Labor and Landscape: Lowell as 19th-Century Crucible,2019
Landmarks Workshop,"University of Massachusetts, Lowell",Lowell,MA,01854-2827,Inventing America: Lowell and the Industrial Revolution,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015"
Institute,"University of Massachusetts, Lowell",Lowell,MA,01854-2827,Social Movements and Reform in Industrializing America: The Lowell Experience,"2017, 2018"
Seminar,University of Miami,Coral Gables,FL,33146-2503,Literary Picaros and Picaras and their Travels in Early Modern Spain,"2007, 2019"
Institute,"University of Michigan, Ann Arbor",Ann Arbor,MI,48109-1382,Banner Moments: The National Anthem in American Life,2013
Landmarks Workshop,University of Missouri Libraries,Kansas City,MO,64110-2235,Crossroads of Conflict: Contested Visions of Freedom and the Missouri-Kansas Border Wars,"2009, 2010, 2013, 2016"
Landmarks Workshop,"University of Missouri, Kansas City",Kansas City,MO,64110-2235,The Missouri-Kansas Border Wars: Contested Visions of Freedoms,2007
Landmarks Workshop,"University of Missouri, Kansas City",Kansas City,MO,64110-2235,Wide-Open Town: Kansas City in the Jazz Age and Great Depression,2019
Institute,University of Montana,Missoula,MT,59801-4494,Literatures of Indigenous Peoples,2014
Landmarks Workshop,"University of New Hampshire, Durham",Durham,NH,03824-2620,"Landmark Events in Portsmouth, New Hampshire and the Transformation of American Identity, 1765-1800 and 1890-1920",2004
Landmarks Workshop,University of New Mexico,Albuquerque,NM,87131-0001,"Contested Homelands: Knowledge, History and Culture of Historic Santa Fe","2009, 2011"
Institute,"University of North Carolina, Asheville",Asheville,NC,28804-3251,Power and Place: Land and Peoples in Appalachia,2010
Seminar,University of Northern Colorado,Greeley,CO,80639-6900,The History and Philosophy of the Peaceful Revolution in East-Central Europe,2008
Seminar,University of Northern Colorado,Greeley,CO,80639-6900,"East-Central Europe, 1989: the History and Philosophy of the Peaceful Revolutions",2012
Institute,University of Oregon,Eugene,OR,97403-5219,"From the Yucatan to ""The Halls of Montezuma"" -- Mesoamerican Cultures and their Histories",2007
Institute,University of Oregon,Eugene,OR,97403-5219,Discovering Native Histories along the Lewis and Clark Trail,2018
Institute,University of Oregon,Eugene,OR,97403-5219,Mesoamerican Cultures and their Histories: Focus on Oaxaca,"2009, 2010, 2013, 2014"
Seminar,University of Pennsylvania,Philadelphia,PA,19104-6205,The Arabic Novel in Translation,"2004, 2007, 2009"
Landmarks Workshop,University of Pittsburgh,Pittsburgh,PA,15260-6133,The Homestead Steel Strike and the Growth of America as an Industrial Power,2019
Institute,University of Pittsburgh,Pittsburgh,PA,15260-6133,Voices Across Time: Teaching American History Through Song,"2005, 2007, 2010, 2012, 2014"
Institute,University of South Carolina Research Foundation,Columbia,SC,29208-0001,Stories of the Great Migration,2011
Institute,"University of South Carolina, Columbia",Columbia,SC,29208-0001,Freedom’s Lawmakers: Black Leadership during Reconstruction,2019
Institute,"University of South Carolina, Columbia",Columbia,SC,29208-0001,America's Reconstruction: The Untold Story,"2014, 2016, 2017, 2019"
Institute,"University of Tennessee, Knoxville",Knoxville,TN,37996-0001,The American South: Geography and Culture,2006
Institute,"University of Texas, El Paso",El Paso,TX,79968-8900,The Monuments of Rome in English Culture,2014
Institute,"University of Texas, El Paso",El Paso,TX,79968-8900,Tales from the Chihuahuan Desert: Borderlands Narratives,"2016, 2018"
Landmarks Workshop,University of Utah,Salt Lake City,UT,84112-9055,Manifest Destiny Reconsidered: The Utah Experience,"2016, 2018"
Seminar,University of Vermont,Burlington,VT,05405-0160,"Dante's ""Divine Comedy""","2004, 2006, 2008, 2010, 2012, 2014"
Seminar,University of Virginia,Charlottesville,VA,22903-4833,Medieval and Early Modern Islamic Iberia,2010
Seminar,University of Virginia,Charlottesville,VA,22903-4833,"Dante's Inferno: Influence, Adaptation, and Appropriation",2014
Institute,University of Virginia,Charlottesville,VA,22903-4833,"Epic Questions: Mind, Meaning and Morality","2010, 2012"
Institute,University of Virginia,Charlottesville,VA,22903-4833,Thomas Jefferson: The Public and Private Worlds of Monticello and the University of Virginia,"2015, 2017, 2018"
Landmarks Workshop,University of West Florida,Pensacola,FL,32514-5750,Aiming for Pensacola: Riding the Underground Railroad in the Deep South,2008
Institute,"University of Wisconsin, La Crosse",La Crosse,WI,54601-3742,Touch the Past: Archaeology of the Upper Mississippi River Valley,2006
Institute,"University of Wisconsin, La Crosse",La Crosse,WI,54601-3742,Exploring the Past: Archaeology in the Upper Mississippi River Valley,"2009, 2010, 2011, 2013"
Landmarks Workshop,University of Wyoming,Laramie,WY,82071-2000,Women's Suffrage on the Western Frontier,"2006, 2007"
Landmarks Workshop,"USS Constitution Museum, Inc.",Boston,MA,02129-0215,The USS Constitution and the War of 1812,2012
Landmarks Workshop,"Vermont Archaeological Society, Inc.",Burlington,VT,05402-0663,Freedom and Unity: The Struggle for Independence on the Vermont Frontier,2019
Landmarks Workshop,Villanova University,Villanova,PA,19085-1478,Benjamin Franklin and the Invention of America,"2006, 2007"
Landmarks Workshop,Virginia Commonwealth University,Richmond,VA,23284-9066,The Legacy of the Civil War: Changing Memories over Time,2015
Institute,Virginia Foundation for the Humanities,Charlottesville,VA,22903-4629,The Coming of the U.S. Civil War,2004
Seminar,Virginia Foundation for the Humanities,Charlottesville,VA,22903-4629,Roots: Teaching the African Dimensions of the History and Culture of the Americas,"2005, 2007"
Seminar,Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-2000,Race and Mental Health in History and Literature,2015
Seminar,Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-2000,Flu! The 1918 Spanish Influenza in U.S. and World History,"2014, 2017"
Institute,Washington University in St. Louis,St. Louis,MO,63130-4899,"The New Negro Renaissance in America, 1919-1941",2009
Institute,Washington University in St. Louis,St. Louis,MO,63130-4899,"Jazz, Motown, and the Transformation of American Culture, 1959-1975",2010
Seminar,Washington University in St. Louis,St. Louis,MO,63130-4899,"Varieties of American Feminism, 1830s to 1930s",2010
Institute,Washington University in St. Louis,St. Louis,MO,63130-4899,Teaching Jazz as American Culture,"2004, 2006"
Institute,Wayne State University,Detroit,MI,48201-1347,"Disability and Identity in History, Literature, and Media",2019
Landmarks Workshop,Western Michigan University,Kalamazoo,MI,49008-5200,The American Farm in U.S. History,2006
Institute,Western Washington University,Bellingham,WA,98225-5996,E Pluribus Unum: Contexts for American Literatures,2004
Seminar,Western Washington University,Bellingham,WA,98225-5996,Four Classics: First Novels of Native America,2011
Landmarks Workshop,Wing Luke Memorial Foundation,Seattle,WA,98104-2948,From Immigrants to Citizens: Asian Americans in the Pacific Northwest,"2013, 2015, 2018"
Landmarks Workshop,"Wright on the Park, Inc.",Mason City,IA,50402-0792,Frank Lloyd Wright and the Prairie School in the Midwest,2012
Seminar,Wright State University Main Campus,Dayton,OH,45435-0001,History and Memory: World War I in British Culture,2005
Landmarks Workshop,Wyoming Humanities Council,Laramie,WY,82072-3459,Women's Suffrage on the Western Frontier,2008
Seminar,Yale University,New Haven,CT,06510-1703,The Canterbury Tales and Medieval Culture,"2004, 2006, 2009"
Institute,,Moraga,CA,94556-2744,Mexican Literature and Culture in Context,2010
